Grafo,Seed,Algoritmo,Fitness,Tiempo,Evaluaciones
CA-GrQc.txt,13,Random,15,0.0615883,1000
CA-GrQc.txt,13,Greedy,24,0.0185208,1
CA-GrQc.txt,13,LSsmall,18,0.0556909,626
CA-GrQc.txt,13,LSall,18,0.0610156,1000
CA-GrQc.txt,13,AGE_SinOrden,11,0.157498,1000
CA-GrQc.txt,13,ES,12,0.379428,770
CA-GrQc.txt,13,BMB,10,0.148875,1000
CA-GrQc.txt,13,ILS,10,0.0353659,200
CA-GrQc.txt,13,GRASP-SIBL,24,0.213967,10
CA-GrQc.txt,13,GRASP-NOBL,22,0.195531,10
CA-GrQc.txt,25,Random,14,0.057464,1000
CA-GrQc.txt,25,Greedy,24,0.019674,1
CA-GrQc.txt,25,LSsmall,12,0.0494572,601
CA-GrQc.txt,25,LSall,13,0.0512802,1000
CA-GrQc.txt,25,AGE_SinOrden,10,0.167567,1000
CA-GrQc.txt,25,ES,10,0.0806891,100
CA-GrQc.txt,25,BMB,10,0.191478,1000
CA-GrQc.txt,25,ILS,10,0.0626231,200
CA-GrQc.txt,25,GRASP-SIBL,14,0.290706,10
CA-GrQc.txt,25,GRASP-NOBL,14,0.185049,10
CA-GrQc.txt,45,Random,15,0.0487052,1000
CA-GrQc.txt,45,Greedy,24,0.0234061,1
CA-GrQc.txt,45,LSsmall,18,0.0734289,601
CA-GrQc.txt,45,LSall,12,0.0469672,1000
CA-GrQc.txt,45,AGE_SinOrden,11,0.181995,1000
CA-GrQc.txt,45,ES,11,0.263171,321
CA-GrQc.txt,45,BMB,15,0.204027,800
CA-GrQc.txt,45,ILS,10,0.038736,200
CA-GrQc.txt,45,GRASP-SIBL,26,0.255736,10
CA-GrQc.txt,45,GRASP-NOBL,26,0.248189,10
CA-GrQc.txt,65,Random,15,0.0645186,1000
CA-GrQc.txt,65,Greedy,24,0.0172724,1
CA-GrQc.txt,65,LSsmall,12,0.0657023,926
CA-GrQc.txt,65,LSall,12,0.0455358,1000
CA-GrQc.txt,65,AGE_SinOrden,11,0.20222,1000
CA-GrQc.txt,65,ES,10,0.0781347,100
CA-GrQc.txt,65,BMB,11,0.211993,1000
CA-GrQc.txt,65,ILS,10,0.0465654,200
