Algoritmo,Posicion_Media,Fitness_Medio,Tiempo_Medio,Evaluaciones_Promedio
AGE_SinOrden,6.5,11.466666666666667,0.1324328,1000.0
BMB,6.233333333333333,11.966666666666667,0.1309066,910.0
ES,7.172413793103448,11.10344827586207,0.10313546551724137,232.24137931034483
GRASP-NOBL,2.8,18.3,0.1455096,10.0
GRASP-SIBL,2.8,18.2,0.14617226666666666,10.0
Greedy,1.2666666666666666,24.0,0.015674846666666666,1.0
ILS,8.033333333333333,10.4,0.028500076666666666,202.9
LSall,5.566666666666666,13.166666666666666,0.03662632,1000.0
LSsmall,4.633333333333334,15.066666666666666,0.04644728333333334,756.6666666666666
Random,3.8,15.966666666666667,0.044518579999999995,1000.0
