Algoritmo,Posicion_Media,Fitness_Medio,Tiempo_Medio,Evaluaciones_Promedio
AGE_SinOrden,6.666666666666667,10.766666666666667,0.10954958333333334,1000.0
BMB,6.9,10.6,0.10256764,973.3333333333334
ES,7.033333333333333,10.566666666666666,0.06567200333333333,186.46666666666667
GRASP-NOBL,2.7,14.166666666666666,0.14651133333333333,10.0
GRASP-SIBL,2.5172413793103448,14.241379310344827,0.14587348275862067,10.0
Greedy,1.4333333333333333,16.0,0.02008566,1.0
ILS,7.0,10.566666666666666,0.024079056666666664,206.3
LSall,4.066666666666666,12.933333333333334,0.04296347666666667,1000.0
LSsmall,3.933333333333333,12.9,0.04780772,731.7666666666667
Random,3.5,13.3,0.04920727333333333,1000.0
