Algoritmo,Posicion_Promedia,Tiempo_Promedio,Evaluaciones_Promedio
AGE_SinOrden,6.558333333333334,0.08991090833333333,1000.0
BMB,6.758333333333334,0.08499479583333333,937.5
ES,6.983193277310924,0.053904714285714285,192.68067226890756
GRASP-NOBL,2.841666666666667,0.0976933475,10.0
GRASP-SIBL,2.8487394957983194,0.09723644369747898,10.0
Greedy,1.5,0.01399205925,1.0
ILS,7.4,0.019003837333333332,204.50833333333333
LSall,4.2,0.03793851833333333,1000.0
LSsmall,3.808333333333333,0.0402161,728.425
Random,3.191666666666667,0.0442684875,1000.0
